	MAIN_TAREADOR	multisort_1	multisort_2	multisort_3	multisort_4	merge_in_sort_1	merge_1	merge_2	merge_in_sort_2	merge_in_sort_3	
THREAD 1.1.150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.151	0.00	0.00	0.00	0.00	0.00	0.00	11244000.00	0.00	0.00	0.00	
THREAD 1.1.152	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35000.00	
THREAD 1.1.153	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.154	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.155	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.156	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.157	0.00	0.00	0.00	0.00	0.00	0.00	10301000.00	0.00	0.00	0.00	
THREAD 1.1.158	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.159	0.00	0.00	0.00	0.00	0.00	0.00	11134000.00	0.00	0.00	0.00	
THREAD 1.1.160	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.161	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.162	0.00	0.00	0.00	0.00	0.00	0.00	11144000.00	0.00	0.00	0.00	
THREAD 1.1.163	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.164	0.00	0.00	0.00	0.00	0.00	0.00	11268000.00	0.00	0.00	0.00	
THREAD 1.1.165	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.166	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.167	0.00	0.00	0.00	0.00	0.00	0.00	31000.00	0.00	0.00	0.00	
THREAD 1.1.168	0.00	0.00	0.00	0.00	0.00	0.00	11518000.00	0.00	0.00	0.00	
THREAD 1.1.169	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34000.00	0.00	0.00	
THREAD 1.1.170	0.00	0.00	0.00	0.00	0.00	0.00	11634000.00	0.00	0.00	0.00	
